GENE_ID,ADJ_PVAL
ENSG00000112312,7.119848E-278
ENSG00000236259,6.700638E-260
ENSG00000271117,6.685568E-253
ENSG00000206177,5.939059E-243
ENSG00000230568,9.160579E-235
ENSG00000203879,8.661829E-231
