label,count,mean,std,min,25%,50%,75%,max
case,97635.0,2.7112227092274157,1.1247632819199462,-0.9672373386277676,1.9280001401336428,2.63151621908016,3.417924790368786,8.474643742581199
control,116035.0,-1.1263164245024948,1.1650980832381423,-6.93905424740476,-1.8536267464131422,-1.0418653444287034,-0.3131731678055576,3.4460265257640885
